Timestamp,Detections,Risk Score,Decision,Item Count
2026-03-27 10:29:57,Lighter,15,LOW     — CLEARED (Log Only),1
2026-03-27 10:30:18,"Bullet, Bullet, Hammer",75,HIGH    — FLAG FOR INSPECTION,3
2026-03-27 10:30:50,"Bullet, Scissors",75,HIGH    — FLAG FOR INSPECTION,2
2026-03-27 10:31:06,"Bullet, Scissors",75,HIGH    — FLAG FOR INSPECTION,2
2026-03-27 10:31:17,Powerbank,12,LOW     — CLEARED (Log Only),1
2026-03-27 10:31:33,None,0,LOW     — CLEARED (Log Only),0
2026-03-27 10:31:48,Scissors,31,LOW     — CLEARED (Log Only),1
2026-03-27 10:32:04,Scissors,7,LOW     — CLEARED (Log Only),1
2026-03-27 10:32:31,"Bullet, Bullet, Bullet, HandCuffs",91,CRITICAL — DETAIN CARGO IMMEDIATELY,4
2026-03-27 10:33:00,Knife,71,HIGH    — FLAG FOR INSPECTION,1
2026-03-27 10:33:16,None,0,LOW     — CLEARED (Log Only),0
2026-03-27 10:33:29,"Lighter, Sprayer, Scissors, Powerbank",3,LOW     — CLEARED (Log Only),4
2026-03-27 10:33:46,"Gun, Knife, Baton",80,CRITICAL — DETAIN CARGO IMMEDIATELY,3
2026-03-27 10:35:21,None,0,LOW     — CLEARED (Log Only),0
2026-03-27 10:35:25,None,0,LOW     — CLEARED (Log Only),0
2026-03-27 10:35:28,None,0,LOW     — CLEARED (Log Only),0
2026-03-27 10:35:31,None,0,LOW     — CLEARED (Log Only),0
2026-03-27 10:35:39,None,0,LOW     — CLEARED (Log Only),0
2026-03-27 10:36:15,"Gun, Gun, HandCuffs",97,CRITICAL — DETAIN CARGO IMMEDIATELY,3
2026-03-27 10:38:01,"Gun, Scissors, Scissors, Scissors, Scissors, Scissors",80,CRITICAL — DETAIN CARGO IMMEDIATELY,6
2026-03-27 10:38:20,Lighter,1,LOW     — CLEARED (Log Only),1
2026-03-27 10:38:41,"Knife, Scissors, Hammer, Wrench, Scissors",60,HIGH    — FLAG FOR INSPECTION,5
2026-03-27 10:39:17,None,0,LOW     — CLEARED (Log Only),0
2026-03-27 10:39:35,"Bullet, Scissors, Scissors, Scissors",75,HIGH    — FLAG FOR INSPECTION,4
2026-03-27 10:40:54,"Bullet, Scissors",75,HIGH    — FLAG FOR INSPECTION,2
2026-03-27 10:41:13,"Bullet, Scissors, Scissors, Scissors",75,HIGH    — FLAG FOR INSPECTION,4
2026-03-27 10:41:36,"Bullet, Baton, HandCuffs, Lighter",77,HIGH    — FLAG FOR INSPECTION,4
2026-03-27 10:41:52,"Bullet, Baton, HandCuffs, Lighter",77,HIGH    — FLAG FOR INSPECTION,4
2026-03-27 10:42:42,Gun,84,CRITICAL — DETAIN CARGO IMMEDIATELY,1
2026-03-27 10:43:06,None,0,LOW     — CLEARED (Log Only),0
2026-03-27 10:43:47,None,65,HIGH    — FLAG FOR INSPECTION,0
2026-03-27 10:44:15,"Knife, Scissors",60,HIGH    — FLAG FOR INSPECTION,2
2026-03-27 10:44:45,"Knife, Scissors, Scissors",60,HIGH    — FLAG FOR INSPECTION,3
2026-03-27 10:44:56,"Knife, Scissors",60,HIGH    — FLAG FOR INSPECTION,2
2026-03-27 10:45:17,"Knife, Scissors",60,HIGH    — FLAG FOR INSPECTION,2
2026-03-27 10:46:31,None,0,LOW     — CLEARED (Log Only),0
2026-03-27 10:47:13,None,0,LOW     — CLEARED (Log Only),0
2026-03-27 10:47:27,"Knife, Knife, Scissors, Scissors, Powerbank",64,HIGH    — FLAG FOR INSPECTION,5
2026-03-27 10:47:59,"Pliers, Scissors",13,LOW     — CLEARED (Log Only),2
2026-03-27 10:48:58,"Gun, Bullet, Wrench",91,CRITICAL — DETAIN CARGO IMMEDIATELY,3
